rank,trial_number,kernel,C,gamma,degree,coef0,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,8,linear,0.5327719500520753,unused,unused,unused,balanced,6,0.627052204650036,0.13403740288224592,0.574800042871464,0.7257935463513078
2,21,linear,0.5961974806131725,unused,unused,unused,balanced,6,0.627052204650036,0.134207861574873,0.5747861477964116,0.725924286010484
3,15,linear,0.3584251290416999,unused,unused,unused,balanced,6,0.6268511197267288,0.13500524524918178,0.5744566286921334,0.7257271161254937
4,22,linear,0.6745453476827726,unused,unused,unused,balanced,6,0.6268464433331635,0.1337543966669766,0.5745982787679629,0.7258414113656833
5,11,linear,0.4985533457963847,unused,unused,unused,balanced,6,0.6268464433331635,0.13430025236912907,0.5745595426309639,0.7258127232616792
6,7,linear,0.1445744355457246,unused,unused,unused,balanced,6,0.6267446352076541,0.13648698959221248,0.5758456477500741,0.7256706201566454
7,10,linear,0.5713825011706419,unused,unused,unused,balanced,6,0.6266406820162912,0.13446029407865104,0.5742683170853441,0.7258693892164567
8,25,linear,0.19703271701894093,unused,unused,unused,balanced,6,0.626631111722483,0.13575774510435845,0.5741612556929403,0.7255936536141877
9,20,linear,0.10173338049801074,unused,unused,unused,balanced,6,0.6265065741491795,0.13654633623831444,0.5761513840709259,0.7259058202350502
10,17,linear,0.905843169804036,unused,unused,unused,balanced,6,0.6264349206994188,0.13390464894781,0.5744213843788509,0.7259254357449267
11,12,linear,0.8523716974921565,unused,unused,unused,balanced,6,0.6264349206994188,0.13390464894781,0.5744213843788509,0.7258988430766066
12,14,linear,1.361997575033502,unused,unused,unused,balanced,6,0.6264349206994188,0.1333571739771483,0.5743356265574066,0.7258720704631908
13,26,linear,0.4024365905400429,unused,unused,unused,balanced,6,0.6264349206994188,0.13492517716250294,0.5743092243093997,0.7256930135716284
14,27,linear,0.6822762836376155,unused,unused,unused,balanced,6,0.6264349206994188,0.13400705150135156,0.5740804480568954,0.7258031433624393
15,23,linear,0.38346572732645223,unused,unused,unused,balanced,6,0.6262291593825462,0.13504999826487865,0.5739217095249167,0.7256187682322315
16,24,linear,1.1926784635942742,unused,unused,unused,balanced,6,0.6262291593825462,0.13348346133578617,0.5735975696599295,0.7259453322020213
17,18,linear,0.26706638776240815,unused,unused,unused,balanced,6,0.6262242654823035,0.13492991056559298,0.5735126071501786,0.7255543061791613
18,2,linear,3.702916330962236,unused,unused,unused,balanced,6,0.6260233980656739,0.13309498173299364,0.5741836499058193,0.7259017127075529
19,13,linear,0.4004587879120511,unused,unused,unused,balanced,6,0.6260233980656738,0.13486960898648234,0.5732375004115888,0.7257313541896792
20,19,poly,2.3192549813040677,0.01,2,1.9888650155130274,balanced,6,0.6258235872177558,0.13778715358266783,0.5704721841647512,0.7252946489856156
21,16,linear,0.2420532123149984,unused,unused,unused,balanced,6,0.6256023051381209,0.1349597254377082,0.573044903004899,0.7255992101566018
22,1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,0.623827137201858,0.12713873474612414,0.5204848040714073,0.7059779338306151
23,5,rbf,8.707641498442745,scale,unused,unused,balanced,6,0.6221371072865804,0.12617196649431908,0.5185082149462995,0.7028593462287472
24,4,rbf,7.5243047881906655,scale,unused,unused,balanced,6,0.6213572681669483,0.1255689328739067,0.5178011842622509,0.7033681587317885
25,28,poly,0.3107891948170903,0.1,2,1.1994919121948002,balanced,6,0.6209488049794347,0.13430276356618387,0.5299204270319368,0.7247093770048088
26,6,poly,1.9108906722436498,scale,4,0.6215069966495733,balanced,6,0.6191971321918537,0.12971648094674534,0.5234411003365946,0.7095644772472148
27,9,rbf,0.2601089292677586,0.01,unused,unused,balanced,6,0.6177940892353334,0.1306398879400891,0.5562222084097052,0.7266427104629398
28,29,rbf,0.1672102980073067,0.1,unused,unused,balanced,6,0.6177920063418156,0.12920207960706304,0.52647580156999,0.7231173505928722
29,3,poly,0.13071438044807582,scale,4,0.7776849235497738,balanced,6,0.614183034410958,0.1329265899987914,0.5281218234958198,0.7193291017427689
30,0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,0.6101559693143085,0.12610927361573512,0.501154597876636,0.6996865533186761
