rank,trial_number,kernel,C,gamma,degree,coef0,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,8,linear,0.5327719500520753,unused,unused,unused,balanced,6,0.627052204650036,0.13403740288224592,0.574800042871464,0.7257935463513078
2,21,linear,0.5961974806131725,unused,unused,unused,balanced,6,0.627052204650036,0.134207861574873,0.5747861477964116,0.725924286010484
3,15,linear,0.3584251290416999,unused,unused,unused,balanced,6,0.6268511197267288,0.13500524524918178,0.5744566286921334,0.7257271161254937
4,22,linear,0.6745453476827726,unused,unused,unused,balanced,6,0.6268464433331635,0.1337543966669766,0.5745982787679629,0.7258414113656833
5,11,linear,0.4985533457963847,unused,unused,unused,balanced,6,0.6268464433331635,0.13430025236912907,0.5745595426309639,0.7258127232616792
6,7,linear,0.1445744355457246,unused,unused,unused,balanced,6,0.6267446352076541,0.13648698959221248,0.5758456477500741,0.7256706201566454
7,10,linear,0.5713825011706419,unused,unused,unused,balanced,6,0.6266406820162912,0.13446029407865104,0.5742683170853441,0.7258693892164567
8,25,linear,0.19703271701894093,unused,unused,unused,balanced,6,0.626631111722483,0.13575774510435845,0.5741612556929403,0.7255936536141877
9,20,linear,0.10173338049801074,unused,unused,unused,balanced,6,0.6265065741491795,0.13654633623831444,0.5761513840709259,0.7259058202350502
10,17,linear,0.905843169804036,unused,unused,unused,balanced,6,0.6264349206994188,0.13390464894781,0.5744213843788509,0.7259254357449267
