parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,1,1,0.7333333333333333,0.7,0.7766798418972332
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,2,2,0.5777777777777777,0.24,0.8735177865612648
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,3,3,0.4222222222222222,0.07142857142857142,0.40118577075098816
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,4,4,0.4888888888888889,0.6567164179104478,0.8142292490118578
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,5,5,0.4888888888888889,0.6461538461538462,0.4246031746031746
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,6,6,0.5111111111111111,0.0,0.42261904761904756
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,7,7,0.8444444444444444,0.851063829787234,0.932806324110672
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,8,8,0.6,0.5714285714285714,0.6521739130434783
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,9,9,0.5333333333333333,0.16,0.5555555555555556
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,10,10,0.6888888888888889,0.631578947368421,0.7162698412698412
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,11,11,0.5111111111111111,0.6666666666666666,0.4288537549407115
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,12,12,0.6444444444444445,0.5789473684210527,0.7083333333333334
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,13,13,0.7714285714285715,0.6923076923076923,0.8333333333333333
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,14,14,0.6888888888888889,0.631578947368421,0.8458498023715416
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,15,15,0.6,0.7096774193548387,0.841897233201581
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,16,16,0.5555555555555556,0.6875,0.6640316205533597
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,17,17,0.5238095238095238,0.0,0.6977272727272728
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,18,18,0.4888888888888889,0.6461538461538462,0.4209486166007905
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,19,19,0.5555555555555556,0.4444444444444444,0.6067193675889329
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,20,20,0.5111111111111111,0.3888888888888889,0.575098814229249
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,21,21,0.5333333333333333,0.6557377049180327,0.7063492063492064
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,22,22,0.4888888888888889,0.6567164179104478,0.5830039525691699
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,23,23,0.7045454545454546,0.7547169811320755,0.7892561983471075
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,24,24,0.5555555555555556,0.42857142857142855,0.5974025974025974
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,25,25,0.7333333333333333,0.75,0.7865612648221344
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,26,26,0.4888888888888889,0.6461538461538462,0.8134920634920635
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,27,27,0.5555555555555556,0.6551724137931034,0.6383399209486166
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,28,28,0.5333333333333333,0.5531914893617021,0.5276679841897234
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,29,29,0.7777777777777778,0.8148148148148148,0.9980237154150198
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,30,30,0.5333333333333333,0.16,0.7023809523809524
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,31,31,0.8,0.7567567567567568,0.9209486166007905
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,32,32,0.75,0.8070175438596491,0.9275362318840579
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,33,33,0.6888888888888889,0.5625,0.8774703557312253
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,34,34,0.8444444444444444,0.8727272727272727,0.9702380952380951
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,35,35,0.5111111111111111,0.5,0.5573122529644269
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,36,36,0.36363636363636365,0.391304347826087,0.41942148760330583
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,37,37,0.5111111111111111,0.0,0.5098814229249011
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,38,38,0.5111111111111111,0.15384615384615385,0.5335968379446641
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,39,39,0.45454545454545453,0.45454545454545453,0.4824016563146998
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,40,40,0.5111111111111111,0.47619047619047616,0.5238095238095238
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,41,41,0.7555555555555555,0.7027027027027027,0.7678571428571429
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,42,42,0.9111111111111111,0.9130434782608695,0.9683794466403162
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,43,43,0.8,0.7567567567567568,0.9387351778656127
coef0,0.0,poly,1.0,scale,3,0.0,balanced,6,44,44,0.6206896551724138,0.47619047619047616,0.7904761904761904
