parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
degree,2,poly,1.0,scale,2,0.0,balanced,6,1,1,0.6888888888888889,0.5882352941176471,0.7806324110671937
degree,2,poly,1.0,scale,2,0.0,balanced,6,2,2,0.3333333333333333,0.11764705882352941,0.22727272727272727
degree,2,poly,1.0,scale,2,0.0,balanced,6,3,3,0.5333333333333333,0.16,0.5533596837944664
degree,2,poly,1.0,scale,2,0.0,balanced,6,4,4,0.5111111111111111,0.0,0.21739130434782608
degree,2,poly,1.0,scale,2,0.0,balanced,6,5,5,0.4888888888888889,0.08,0.6111111111111112
degree,2,poly,1.0,scale,2,0.0,balanced,6,6,6,0.4888888888888889,0.08,0.4642857142857143
degree,2,poly,1.0,scale,2,0.0,balanced,6,7,7,0.1111111111111111,0.0,0.019762845849802372
degree,2,poly,1.0,scale,2,0.0,balanced,6,8,8,0.6222222222222222,0.41379310344827586,0.7766798418972332
degree,2,poly,1.0,scale,2,0.0,balanced,6,9,9,0.5333333333333333,0.0,0.6924603174603174
degree,2,poly,1.0,scale,2,0.0,balanced,6,10,10,0.6888888888888889,0.5625,0.5892857142857143
degree,2,poly,1.0,scale,2,0.0,balanced,6,11,11,0.5111111111111111,0.0,0.5375494071146245
degree,2,poly,1.0,scale,2,0.0,balanced,6,12,12,0.28888888888888886,0.23809523809523808,0.2619047619047619
degree,2,poly,1.0,scale,2,0.0,balanced,6,13,13,0.5714285714285714,0.21052631578947367,0.7189542483660131
degree,2,poly,1.0,scale,2,0.0,balanced,6,14,14,0.5333333333333333,0.16,0.541501976284585
degree,2,poly,1.0,scale,2,0.0,balanced,6,15,15,0.8444444444444444,0.851063829787234,0.9071146245059288
degree,2,poly,1.0,scale,2,0.0,balanced,6,16,16,0.5555555555555556,0.23076923076923078,0.6936758893280632
degree,2,poly,1.0,scale,2,0.0,balanced,6,17,17,0.47619047619047616,0.26666666666666666,0.5159090909090909
degree,2,poly,1.0,scale,2,0.0,balanced,6,18,18,0.4888888888888889,0.0,0.6383399209486166
degree,2,poly,1.0,scale,2,0.0,balanced,6,19,19,0.5777777777777777,0.2962962962962963,0.7509881422924902
degree,2,poly,1.0,scale,2,0.0,balanced,6,20,20,0.4888888888888889,0.0,0.3952569169960474
degree,2,poly,1.0,scale,2,0.0,balanced,6,21,21,0.6222222222222222,0.41379310344827586,0.6686507936507936
degree,2,poly,1.0,scale,2,0.0,balanced,6,22,22,0.5111111111111111,0.21428571428571427,0.5434782608695652
degree,2,poly,1.0,scale,2,0.0,balanced,6,23,23,0.6818181818181818,0.65,0.6611570247933884
degree,2,poly,1.0,scale,2,0.0,balanced,6,24,24,0.4444444444444444,0.16666666666666666,0.6233766233766234
degree,2,poly,1.0,scale,2,0.0,balanced,6,25,25,0.6222222222222222,0.6666666666666666,0.7055335968379447
degree,2,poly,1.0,scale,2,0.0,balanced,6,26,26,0.5333333333333333,0.0,0.09325396825396826
degree,2,poly,1.0,scale,2,0.0,balanced,6,27,27,0.6,0.3076923076923077,0.567193675889328
degree,2,poly,1.0,scale,2,0.0,balanced,6,28,28,0.4666666666666667,0.3333333333333333,0.48023715415019763
degree,2,poly,1.0,scale,2,0.0,balanced,6,29,29,0.6666666666666666,0.7457627118644068,0.9268774703557313
degree,2,poly,1.0,scale,2,0.0,balanced,6,30,30,0.4888888888888889,0.08,0.3353174603174603
degree,2,poly,1.0,scale,2,0.0,balanced,6,31,31,0.7777777777777778,0.7727272727272727,0.8814229249011858
degree,2,poly,1.0,scale,2,0.0,balanced,6,32,32,0.5,0.15384615384615385,0.3747412008281573
degree,2,poly,1.0,scale,2,0.0,balanced,6,33,33,0.6,0.35714285714285715,0.766798418972332
degree,2,poly,1.0,scale,2,0.0,balanced,6,34,34,0.6,0.625,0.6468253968253969
degree,2,poly,1.0,scale,2,0.0,balanced,6,35,35,0.37777777777777777,0.3,0.32806324110671936
degree,2,poly,1.0,scale,2,0.0,balanced,6,36,36,0.4090909090909091,0.35,0.41735537190082644
degree,2,poly,1.0,scale,2,0.0,balanced,6,37,37,0.4888888888888889,0.6567164179104478,0.3715415019762846
degree,2,poly,1.0,scale,2,0.0,balanced,6,38,38,0.5333333333333333,0.08695652173913043,0.5652173913043479
degree,2,poly,1.0,scale,2,0.0,balanced,6,39,39,0.5,0.0,0.4741200828157349
degree,2,poly,1.0,scale,2,0.0,balanced,6,40,40,0.4222222222222222,0.07142857142857142,0.44246031746031744
