parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,1,1,0.7555555555555555,0.7843137254901961,0.8517786561264823
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,2,2,0.6444444444444445,0.42857142857142855,0.873517786561265
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,3,3,0.4444444444444444,0.3902439024390244,0.44664031620553357
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,4,4,0.5333333333333333,0.676923076923077,0.7707509881422925
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,5,5,0.4444444444444444,0.6031746031746031,0.39880952380952384
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,6,6,0.5333333333333333,0.0,0.4900793650793651
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,7,7,0.6666666666666666,0.7457627118644068,0.9822134387351779
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,8,8,0.6222222222222222,0.5405405405405406,0.7035573122529645
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,9,9,0.5777777777777777,0.5128205128205128,0.5436507936507936
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,10,10,0.6666666666666666,0.6666666666666666,0.6884920634920634
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,11,11,0.4888888888888889,0.43902439024390244,0.4367588932806324
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,12,12,0.5555555555555556,0.4117647058823529,0.7083333333333334
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,13,13,0.7714285714285715,0.75,0.8594771241830066
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,14,14,0.6888888888888889,0.72,0.7806324110671936
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,15,15,0.5777777777777777,0.6984126984126984,0.9466403162055337
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,16,16,0.6666666666666666,0.7169811320754716,0.7509881422924901
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,17,17,0.5238095238095238,0.0,0.5795454545454546
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,18,18,0.4888888888888889,0.6101694915254238,0.42885375494071143
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,19,19,0.6444444444444445,0.7241379310344828,0.8359683794466404
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,20,20,0.5111111111111111,0.0,0.5711462450592886
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,21,21,0.5777777777777777,0.5957446808510638,0.7202380952380951
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,22,22,0.5333333333333333,0.6865671641791045,0.7094861660079052
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,23,23,0.6818181818181818,0.75,0.8533057851239669
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,24,24,0.5,0.3076923076923077,0.6103896103896105
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,25,25,0.7555555555555555,0.7317073170731707,0.7845849802371541
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,26,26,0.7777777777777778,0.7916666666666666,0.7619047619047619
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,27,27,0.4888888888888889,0.6349206349206349,0.5948616600790514
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,28,28,0.5555555555555556,0.5238095238095238,0.5671936758893281
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,29,29,0.8222222222222222,0.8461538461538461,1.0
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,30,30,0.5333333333333333,0.08695652173913043,0.6349206349206349
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,31,31,0.9111111111111111,0.9130434782608695,0.9723320158102766
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,32,32,0.7045454545454546,0.7796610169491526,0.9544513457556936
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,33,33,0.7111111111111111,0.6285714285714286,0.8754940711462451
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,34,34,0.8888888888888888,0.9056603773584906,0.9742063492063491
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,35,35,0.5333333333333333,0.16,0.8596837944664031
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,36,36,0.4318181818181818,0.4444444444444444,0.4421487603305785
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,37,37,0.5111111111111111,0.0,0.38735177865612647
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,38,38,0.5777777777777777,0.42424242424242425,0.575098814229249
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,39,39,0.5227272727272727,0.5531914893617021,0.5113871635610766
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,40,40,0.37777777777777777,0.0,0.5218253968253969
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,41,41,0.6666666666666666,0.5945945945945946,0.7797619047619048
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,42,42,0.9333333333333333,0.9333333333333333,0.9822134387351779
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,43,43,0.7777777777777778,0.7222222222222222,0.9328063241106719
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,44,44,0.6551724137931034,0.5833333333333334,0.780952380952381
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,45,45,0.5555555555555556,0.23076923076923078,0.7984189723320159
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,46,46,0.7333333333333333,0.7,0.725296442687747
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,47,47,0.5111111111111111,0.6071428571428571,0.5932539682539683
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,48,48,0.7058823529411765,0.6666666666666666,0.9714285714285714
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,49,49,0.8888888888888888,0.8780487804878049,0.958498023715415
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,50,50,0.5111111111111111,0.0,0.5454545454545455
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,51,51,0.5777777777777777,0.17391304347826086,0.501984126984127
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,52,52,0.7560975609756098,0.6666666666666666,0.8349282296650717
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,53,53,0.5116279069767442,0.43243243243243246,0.5670995670995671
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,54,54,0.5641025641025641,0.6530612244897959,0.8125
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,55,55,0.6888888888888889,0.5333333333333333,0.9426877470355731
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,56,56,0.7954545454545454,0.7906976744186046,0.9090909090909091
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,57,57,0.6444444444444445,0.6666666666666666,0.7202380952380952
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,58,58,0.5777777777777777,0.4864864864864865,0.626984126984127
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,59,59,0.5333333333333333,0.0,0.4662698412698413
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,60,60,0.7727272727272727,0.782608695652174,0.9276859504132231
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,61,61,0.6976744186046512,0.6060606060606061,0.8376623376623377
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,62,62,0.8888888888888888,0.8780487804878049,0.9624505928853755
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,63,63,0.4883720930232558,0.0,0.5909090909090909
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,64,64,0.6888888888888889,0.75,0.8023715415019763
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,65,65,0.6888888888888889,0.6666666666666666,0.8035714285714286
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,66,66,0.4222222222222222,0.5,0.5138339920948617
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,67,67,0.5333333333333333,0.16,0.5375494071146245
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.7015810276679841
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,69,69,0.6,0.47058823529411764,0.6428571428571428
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,70,70,0.5777777777777777,0.42424242424242425,0.808300395256917
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,71,71,0.6444444444444445,0.4666666666666667,0.8992094861660079
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,72,72,0.9333333333333333,0.9361702127659575,0.9822134387351779
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,73,73,0.7333333333333333,0.7142857142857143,0.774703557312253
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,74,74,0.6444444444444445,0.5294117647058824,0.5793650793650794
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,75,75,0.8048780487804879,0.75,0.9214285714285714
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,76,76,0.6666666666666666,0.6153846153846154,0.6106719367588933
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,77,77,0.5111111111111111,0.5769230769230769,0.5734126984126984
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,78,78,0.4888888888888889,0.6229508196721312,0.5553359683794467
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,79,79,0.625,0.4444444444444444,0.69
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,80,80,0.5111111111111111,0.0,0.6482213438735178
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,81,81,0.4888888888888889,0.0,0.5059288537549408
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,82,82,0.5555555555555556,0.6875,0.7233201581027668
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,83,83,0.5526315789473685,0.19047619047619047,0.8753462603878117
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,84,84,0.6590909090909091,0.6511627906976745,0.7453416149068324
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,85,85,0.5909090909090909,0.7,0.9523809523809523
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,86,86,0.6590909090909091,0.5161290322580645,0.8695652173913043
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,87,87,0.5333333333333333,0.6557377049180327,0.5632411067193676
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,88,88,0.4909090909090909,0.17647058823529413,0.5873015873015873
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,89,89,0.7555555555555555,0.7659574468085106,0.7658730158730159
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,90,90,0.5333333333333333,0.46153846153846156,0.5691699604743083
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,91,91,0.4772727272727273,0.6461538461538462,0.7871900826446281
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,92,92,0.5714285714285714,0.3684210526315789,0.6666666666666667
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,93,93,0.8444444444444444,0.8205128205128205,0.9347826086956522
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,94,94,0.9772727272727273,0.9787234042553191,1.0
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,95,95,0.35714285714285715,0.5263157894736842,0.5833333333333333
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,96,96,0.42857142857142855,0.6,0.5328798185941044
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,97,97,0.5,0.0,0.6033057851239669
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,98,98,0.5111111111111111,0.65625,0.5592885375494071
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,99,99,0.5813953488372093,0.4,0.551948051948052
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,100,100,0.5555555555555556,0.6,0.5833333333333333
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,101,101,0.4888888888888889,0.0,0.5770750988142292
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,102,102,0.8444444444444444,0.8444444444444444,0.8735177865612648
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,103,103,0.6511627906976745,0.5945945945945946,0.7987012987012987
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,104,104,0.5581395348837209,0.6666666666666666,0.49350649350649356
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,105,105,0.6,0.35714285714285715,0.5612648221343874
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,106,106,0.6,0.6086956521739131,0.6785714285714286
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,107,107,0.5555555555555556,0.5652173913043478,0.5932539682539683
gamma,scale,rbf,1.0,scale,3,0.0,balanced,6,108,108,0.8666666666666667,0.85,0.8853754940711464
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,1,1,0.7555555555555555,0.7843137254901961,0.8517786561264823
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,2,2,0.6444444444444445,0.42857142857142855,0.873517786561265
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,3,3,0.4444444444444444,0.3902439024390244,0.44664031620553357
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,4,4,0.5333333333333333,0.676923076923077,0.7707509881422925
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,5,5,0.4444444444444444,0.6031746031746031,0.39880952380952384
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,6,6,0.5333333333333333,0.0,0.4900793650793651
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,7,7,0.6666666666666666,0.7457627118644068,0.9822134387351779
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,8,8,0.6222222222222222,0.5405405405405406,0.7035573122529645
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,9,9,0.5777777777777777,0.5128205128205128,0.5436507936507936
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,10,10,0.6666666666666666,0.6666666666666666,0.6884920634920634
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,11,11,0.4888888888888889,0.43902439024390244,0.4367588932806324
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,12,12,0.5555555555555556,0.4117647058823529,0.7083333333333334
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,13,13,0.7714285714285715,0.75,0.8594771241830066
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,14,14,0.6888888888888889,0.72,0.7806324110671936
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,15,15,0.5777777777777777,0.6984126984126984,0.9466403162055337
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,16,16,0.6666666666666666,0.7169811320754716,0.7509881422924901
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,17,17,0.5238095238095238,0.0,0.5795454545454546
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,18,18,0.4888888888888889,0.6101694915254238,0.42885375494071143
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,19,19,0.6444444444444445,0.7241379310344828,0.8359683794466404
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,20,20,0.5111111111111111,0.0,0.5711462450592886
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,21,21,0.5777777777777777,0.5957446808510638,0.7202380952380951
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,22,22,0.5333333333333333,0.6865671641791045,0.7094861660079052
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,23,23,0.6818181818181818,0.75,0.8533057851239669
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,24,24,0.5,0.3076923076923077,0.6103896103896105
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,25,25,0.7555555555555555,0.7317073170731707,0.7845849802371541
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,26,26,0.7777777777777778,0.7916666666666666,0.7619047619047619
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,27,27,0.4888888888888889,0.6349206349206349,0.5948616600790514
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,28,28,0.5555555555555556,0.5238095238095238,0.5671936758893281
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,29,29,0.8222222222222222,0.8461538461538461,1.0
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,30,30,0.5333333333333333,0.08695652173913043,0.6349206349206349
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,31,31,0.9111111111111111,0.9130434782608695,0.9723320158102766
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,32,32,0.7045454545454546,0.7796610169491526,0.9544513457556936
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,33,33,0.7111111111111111,0.6285714285714286,0.8754940711462451
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,34,34,0.8888888888888888,0.9056603773584906,0.9742063492063491
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,35,35,0.5333333333333333,0.16,0.8596837944664031
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,36,36,0.4318181818181818,0.4444444444444444,0.4421487603305785
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,37,37,0.5111111111111111,0.0,0.38735177865612647
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,38,38,0.5777777777777777,0.42424242424242425,0.575098814229249
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,39,39,0.5227272727272727,0.5531914893617021,0.5113871635610766
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,40,40,0.37777777777777777,0.0,0.5218253968253969
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,41,41,0.6666666666666666,0.5945945945945946,0.7797619047619048
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,42,42,0.9333333333333333,0.9333333333333333,0.9822134387351779
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,43,43,0.7777777777777778,0.7222222222222222,0.9328063241106719
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,44,44,0.6551724137931034,0.5833333333333334,0.780952380952381
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,45,45,0.5555555555555556,0.23076923076923078,0.7984189723320159
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,46,46,0.7333333333333333,0.7,0.725296442687747
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,47,47,0.5111111111111111,0.6071428571428571,0.5932539682539683
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,48,48,0.7058823529411765,0.6666666666666666,0.9714285714285714
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,49,49,0.8888888888888888,0.8780487804878049,0.958498023715415
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,50,50,0.5111111111111111,0.0,0.5454545454545455
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,51,51,0.5777777777777777,0.17391304347826086,0.501984126984127
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,52,52,0.7560975609756098,0.6666666666666666,0.8349282296650717
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,53,53,0.5116279069767442,0.43243243243243246,0.5670995670995671
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,54,54,0.5641025641025641,0.6530612244897959,0.8125
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,55,55,0.6888888888888889,0.5333333333333333,0.9426877470355731
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,56,56,0.7954545454545454,0.7906976744186046,0.9090909090909091
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,57,57,0.6444444444444445,0.6666666666666666,0.7202380952380952
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,58,58,0.5777777777777777,0.4864864864864865,0.626984126984127
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,59,59,0.5333333333333333,0.0,0.4662698412698413
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,60,60,0.7727272727272727,0.782608695652174,0.9276859504132231
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,61,61,0.6976744186046512,0.6060606060606061,0.8376623376623377
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,62,62,0.8888888888888888,0.8780487804878049,0.9624505928853755
gamma,auto,rbf,1.0,auto,3,0.0,balanced,6,63,63,0.4883720930232558,0.0,0.5909090909090909
