parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6925820021918325,0.6653365731239319,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6751159406972654,0.6474442601203918,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6546710856033094,0.6218604962031047,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6498626976302175,0.6278144081433614,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6440449469920361,0.6184485952059428,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6322869694594181,0.6070029656092326,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6266910614389362,0.5966202894846598,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6205248288584478,0.6010493119557698,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6121810293107321,0.5933593610922495,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6128915649923411,0.5911428133646647,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6146181605078957,0.596833461523056,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.5985460301691835,0.590957506497701,0.001
d_model,32,32,4,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.5962777984413233,0.5892738580703736,0.001
