parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,0.6888888888888889,0.631578947368421,0.7628458498023716,45,30.81525553803658,0.0036443309509195387,0.08098513224265641,0.25977325439453125,68098,0.0,146.09326171875,0.576203593250477,0.5965596507444526,0.5829055845737457,25,35
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,0.8,0.7567567567567568,0.891304347826087,45,34.316522806999274,0.0036134609836153686,0.08029913296923041,0.25977325439453125,68098,0.0,146.09326171875,0.572854846490152,0.5937766816579935,0.5794574817021688,29,39
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.4444444444444444,0.46808510638297873,0.3913043478260869,45,29.029940248990897,0.0036527119809761643,0.08117137735502587,0.25977325439453125,68098,0.0,146.09326171875,0.564089621784109,0.5901941167134227,0.568887182076772,23,33
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.5555555555555556,0.6875000000000001,0.5454545454545455,45,31.47177752200514,0.0036924509913660586,0.0820544664748013,0.25977325439453125,68098,0.0,146.09326171875,0.5662374839638219,0.5785037832278194,0.5749692300955455,26,36
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.5111111111111111,0.5925925925925926,0.5595238095238095,45,34.94736441603163,0.003629942948464304,0.08066539885476232,0.25977325439453125,68098,0.0,146.09326171875,0.5589085539633577,0.5713673802939329,0.5969074765841166,30,40
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.5333333333333333,0.22222222222222224,0.5198412698412699,45,35.1856781419483,0.003661579976323992,0.08136844391831094,0.25977325439453125,68098,0.0,146.09326171875,0.568090641814651,0.5820865926868988,0.5783204396565755,30,40
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.9111111111111111,0.9090909090909091,0.9308300395256917,45,31.649832023016643,0.003606195969041437,0.08013768820092082,0.25977325439453125,68098,0.0,146.09326171875,0.5732914049065474,0.5942274298180233,0.5721267461776733,26,36
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.5777777777777777,0.5365853658536586,0.6660079051383399,45,41.96479212096892,0.0036779919755645096,0.08173315501254466,0.25977325439453125,68098,0.0,146.09326171875,0.5508780084324606,0.5768330548748826,0.5951402604579925,38,48
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.6,0.5500000000000002,0.621031746031746,45,38.70972476899624,0.003640138020273298,0.0808919560060733,0.25977325439453125,68098,0.0,146.09326171875,0.5573754595084623,0.5748597835049485,0.5770562628904978,34,44
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.6,0.6666666666666665,0.751984126984127,45,33.44272513798205,0.0036696100141853094,0.081546889204118,0.25977325439453125,68098,0.0,146.09326171875,0.5759636244990609,0.5892258221001336,0.5951294362545013,28,38
