parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6993935510064616,0.6932584444681803,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6926401374918042,0.6827380736668904,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6853830818877076,0.6724113821983337,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.673843600081675,0.6576377789179484,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6717838708198431,0.6519343932469686,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6610133878209374,0.6442292173703511,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6576582681049,0.6478319803873698,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6477182037902601,0.6409390906492869,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6420196701179851,0.6154569347699483,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6311034995949629,0.6023308396339416,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6275160561005274,0.5967811425526937,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6223071325909008,0.5991291244824727,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6248841373757883,0.5951452155907949,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6200215886488105,0.5925213634967804,0.0001
learning_rate,0.0001,64,4,2,128,0.1,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6158940347306656,0.6109093427658081,0.0001
