parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6957169297066602,0.6635805328687032,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6785689863291654,0.6456855257352193,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6456854943976258,0.6218218723932902,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6423513814806938,0.626353633403778,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6213570180715937,0.610123856862386,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6169134832241319,0.5819779058297475,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6003634430693857,0.5697249452273051,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.5962492602341103,0.5949684421221415,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.588504163379019,0.617053606112798,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.5879880465341337,0.583005444208781,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.5754729030710278,0.5992139498392741,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.5613008450829622,0.6163963794708252,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.553081726937583,0.6198284864425659,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,14,0.5086284534949245,0.6223143041133881,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,15,0.49353977947524097,0.6261631548404694,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,16,0.4746496239394853,0.6642077684402465,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,17,0.45990243192875024,0.7414705197016398,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,1,0.7006811996301016,0.6832131226857503,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,2,0.674175969579003,0.6482813199361165,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,3,0.6606452772111604,0.6137736479441325,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6376311431328455,0.6067655801773071,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6304477893493392,0.5846280932426453,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6258878249562148,0.590220057964325,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6192513489813516,0.5755998849868774,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6156766346909783,0.5899322152137756,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6020516035231677,0.5713224271933238,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,10,0.5937079681140004,0.5813508987426758,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,11,0.5913075822772402,0.5842212279637654,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,12,0.5892915892781634,0.5842550178368886,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,13,0.5722951089793985,0.5739430665969849,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,14,0.5647989166053858,0.5604839046796163,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,15,0.5501809147271243,0.5943410754203796,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,16,0.550480793371345,0.5956791996955871,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,17,0.5250917589574149,0.6045120577017467,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,18,0.5075186793551301,0.6845121463139852,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,19,0.5105306537765445,0.6432472904523213,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,20,0.4996419081633741,0.6881628533204397,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,21,0.42975117108135513,0.7364982823530833,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,22,0.3994937253495057,0.7378499666849773,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,23,0.3805628941591942,0.7719127436478933,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,24,0.3739186746604515,0.7486089309056599,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,1,0.6995561863436843,0.7164544423421224,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,2,0.6672860609762596,0.6612551550070445,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,3,0.637653268196366,0.6029659986495972,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,4,0.6249201647711523,0.5870235681533813,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,5,0.618959293898308,0.5903797467549642,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,6,0.6086716814474626,0.6079188704490661,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,7,0.6070619243564028,0.6176057934761048,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,8,0.5913976868896773,0.6015124380588531,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,9,0.5910845705957124,0.59430024822553,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,10,0.5792606043996233,0.5808232843875885,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,11,0.5668068476247065,0.6059991876284282,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,12,0.5593836174318285,0.5980149706204733,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,13,0.5517084754326127,0.6161392251650493,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,14,0.5382312303691199,0.6229091068108876,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,15,0.5231945729165366,0.6291223029295604,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,16,0.5104052115118864,0.6452103356520335,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,17,0.4698051270661932,0.6873140851656596,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,18,0.4435436739162965,0.6817275762557984,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,19,0.42552112731518166,0.7144766350587209,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,20,0.4187873197775899,0.744995528459549,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,1,0.7035810997088751,0.685168464978536,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,2,0.6754816580902446,0.6500732938448588,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,3,0.6501830328594554,0.6210709849993388,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,4,0.631657830693505,0.60552103916804,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,5,0.627687234770168,0.6233487109343211,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,6,0.6229292429757841,0.6396147668361664,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,7,0.6169543259523131,0.6012307941913605,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,8,0.6127202973672838,0.5832564870516459,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,9,0.6035670741940989,0.6094814817110698,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,10,0.5889863568273458,0.5981999834378561,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,11,0.5803153697739948,0.6050868650277456,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,12,0.5761920674280687,0.6216208577156067,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,13,0.5649180888678088,0.5915742973486583,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,14,0.5544571666554972,0.6641059160232544,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,15,0.5165574552886414,0.6374478896458944,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,16,0.49567734653299506,0.6341579000155131,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,17,0.4848557191364693,0.6710857093334198,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,18,0.4710342917929996,0.676948736111323,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,1,0.6920558715408499,0.6450860301653544,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,2,0.6574447331103411,0.6601753095785777,0.001
nhead,2,64,2,2,128,0.1,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,3,0.6395827613093636,0.626167098681132,0.001
