parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,d_model,nhead,num_layers,dim_feedforward,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
batch_size,16,1,1,1,0.693705191857008,0.6605376998583475,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,2,0.6663549642145861,0.6450216442346572,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,3,0.6502162970517524,0.6262211203575134,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,4,0.6439902977345108,0.6036474694808324,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,5,0.6314219204645193,0.5960548748572667,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,6,0.6231694581844054,0.5909082154432933,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,7,0.616357451156065,0.5816307902336121,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,8,0.6057533153789578,0.5984818175435066,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,9,0.6007933785480238,0.5926390300194423,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,10,0.5901451224156659,0.597232406338056,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,11,0.5808895149838336,0.5819790825247765,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,12,0.5744911333680606,0.5943851421276728,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,13,0.5645383579422766,0.5991124312082926,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,14,0.5030744614030018,0.5953115940093994,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,15,0.4815206208723126,0.6451491296291352,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,16,0.4555030468525542,0.6647256538271904,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,17,0.4391150343667418,0.6544417801002661,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,1,0.6915205116507671,0.6485827594995499,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,2,0.6647170409276911,0.6209650288025538,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,3,0.6492363117040337,0.6171291530132293,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,4,0.6353345826098221,0.5782906989256541,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,5,0.6280563474834645,0.5925052066644033,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,6,0.6221338219289091,0.5813344433903694,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,7,0.6067161417279406,0.5681205819050471,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,8,0.603758275848831,0.5993411401907603,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,9,0.5895329607303604,0.5988535135984421,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,10,0.5858154884989271,0.6102164382735888,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,11,0.5773497115069922,0.6162937134504318,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,12,0.5582986634947048,0.6015989075104395,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,13,0.5398596156912612,0.6046198929349581,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,14,0.4855299178411752,0.6544724563757579,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,15,0.4502945653952573,0.7090061003963153,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,16,0.43237899291991283,0.693467624982198,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,17,0.4059370644815521,0.7390194068352381,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,1,0.6934790284914663,0.6606395244598389,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,2,0.663441776096141,0.6422094961007436,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,3,0.6519198906059047,0.6045768916606903,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,4,0.631060529004485,0.6064261744419733,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,5,0.6189356149376118,0.5832101970911026,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,6,0.6197413645769707,0.5891851186752319,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,7,0.6086388762912823,0.6064050048589706,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,8,0.5938716422015723,0.5895790124932925,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,9,0.5850094857098032,0.6329076836506525,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,10,0.5858276021797847,0.6456020121773084,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,11,0.5693292941883943,0.621621863047282,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,12,0.5215923845088074,0.5996632675329844,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,13,0.4981704333889167,0.6626166343688965,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,14,0.48026361823535235,0.6058952917655309,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,15,0.45152049809127703,0.680865545074145,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,4,4,1,0.6990405883172619,0.6861234903335571,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,4,4,2,0.6758038684895736,0.6201624433199565,0.001,64,4,2,128,0.1,16,75,0.0,0.1,10,5,0.5,True,42
