parameter_name,parameter_value,d_model,nhead,num_layers,dim_feedforward,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7555555555555555,0.7555555555555555,0.7924901185770751,45,20.34084412199445,0.005169831041712314,0.11488513426027365,0.25977325439453125,68098,0.0,146.09326171875,0.48820771141485736,0.6172254622885676,0.5878674884637197,5,15
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.7777777777777778,0.7222222222222223,0.8992094861660079,45,21.547371735039633,0.005431176978163421,0.12069282173696493,0.25977325439453125,68098,0.0,146.09326171875,0.42053822653763223,0.6153974639195384,0.5764469544092814,6,16
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4,0.4,0.36561264822134387,45,20.198408127995208,0.00500591698801145,0.11124259973358777,0.25977325439453125,68098,0.0,146.09326171875,0.46773748461044196,0.6221398051941034,0.5689449548721314,5,15
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5333333333333333,0.6440677966101694,0.6146245059288538,45,25.544821259973105,0.005414069048129022,0.12031264551397827,0.25977325439453125,68098,0.0,146.09326171875,0.3666784127779079,0.591851520493175,0.5777555108070374,9,19
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5111111111111111,0.5925925925925926,0.5257936507936508,45,24.3098744089948,0.006137971009593457,0.13639935576874349,0.25977325439453125,68098,0.0,146.09326171875,0.38258606996951683,0.5885484356320265,0.6152034918467204,8,18
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4666666666666667,0.2941176470588235,0.44246031746031744,45,22.854623863007873,0.006253838015254587,0.1389741781167686,0.25977325439453125,68098,0.0,146.09326171875,0.4511494841991049,0.6163382250251193,0.5829447865486145,6,16
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8666666666666667,0.85,0.9486166007905139,45,24.510742268990725,0.004636183031834662,0.10302628959632583,0.25977325439453125,68098,0.0,146.09326171875,0.3950264049750386,0.5973574799118619,0.5724422812461853,8,18
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.5777777777777777,0.6122448979591837,0.6521739130434782,45,23.002645119966473,0.006659896986093372,0.14799771080207494,0.25977325439453125,68098,0.0,146.09326171875,0.444152729529323,0.6021279214006482,0.5878522515296936,7,17
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6666666666666666,0.48275862068965514,0.6726190476190476,45,22.748042471008375,0.006342120992485434,0.14093602205523187,0.25977325439453125,68098,0.0,146.09326171875,0.4197369533957857,0.6038068824193694,0.5936699986457825,7,17
epochs,50,64,4,2,128,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6666666666666666,0.6808510638297872,0.6666666666666667,45,21.427845594007522,0.0038520109956152737,0.08560024434700608,0.25977325439453125,68098,0.0,146.09326171875,0.4284139684203899,0.5996205203912475,0.6103737672170003,6,16
