parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,d_model,nhead,num_layers,dim_feedforward,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
epochs,50,1,1,1,0.6914295387087446,0.6572397967179616,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,2,0.6618977320013624,0.6590112467606862,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,3,0.6418895874962662,0.6099721729755402,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,4,0.6319394705421997,0.642303995291392,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,5,0.6172254622885676,0.5878674884637197,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,6,0.611860780327609,0.5894826352596283,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,7,0.6058065715161237,0.598860772450765,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,8,0.5960329513658177,0.5957506577173869,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,9,0.5878690363782825,0.6010584910710652,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,10,0.5737735066901554,0.6694151888291041,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,11,0.567227250698841,0.6165524184703827,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,12,0.5260396015011903,0.6519766926765442,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,13,0.5074991495771841,0.6239078640937805,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,14,0.4941090884985346,0.6502389550209046,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,15,0.48820771141485736,0.6748824715614319,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,1,0.6966151229359887,0.6707756916681925,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,2,0.6643157271724759,0.6107035199801127,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,3,0.6445126068411451,0.598780365784963,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,4,0.6315779929811304,0.6088296294212341,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,5,0.621190128227075,0.5933579881985982,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,6,0.6153974639195384,0.5764469544092814,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,7,0.6008997342803262,0.5957798997561137,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,8,0.595035272565755,0.6337663491566976,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,9,0.5844599473657031,0.5867281138896943,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,10,0.5748638540054812,0.5888158599535624,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,11,0.5473701459440318,0.6060073554515839,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,12,0.533922305612853,0.6321588317553203,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,13,0.49048729850487277,0.6097175379594167,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,14,0.4596932837457368,0.6407841821511586,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,15,0.4462321041659875,0.6516859114170075,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,16,0.42053822653763223,0.7028320749600728,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,1,0.6944482814181935,0.665423576037089,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,2,0.6688984957608309,0.6195942759513855,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,3,0.6454816356752858,0.6227504432201385,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,4,0.6360034841028127,0.6073855638504029,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,5,0.6221398051941034,0.5689449548721314,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,6,0.6115226287281874,0.6093064904212951,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,7,0.5987272621555761,0.589467187722524,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,8,0.5937332531267946,0.6235944231351217,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,9,0.5945197043545318,0.6411016503969829,0.001,64,4,2,128,0.1,32,50,0.0,0.1,10,5,0.5,True,42
