parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,d_model,nhead,num_layers,dim_feedforward,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
lr_scheduler_patience,3,1,1,1,0.7029057519905495,0.6620200753211976,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,2,0.6674527137568502,0.622590180238088,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,3,0.6487580325567361,0.6201336820920308,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,4,0.6241685102383295,0.597341525554657,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,5,0.6225072344144186,0.5840882857640585,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,6,0.6091867667255979,0.5867981473604839,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,7,0.6050054826068155,0.5917333324750265,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,8,0.5977752007769815,0.5922164976596832,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,9,0.5912291965249813,0.6003918886184693,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,10,0.5550393651832234,0.5990650534629822,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,11,0.5388063271388863,0.5944417854150136,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,12,0.5229095726302175,0.620602689186732,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,13,0.5056434255657773,0.6447641253471375,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,14,0.4723989972562501,0.6941908260186513,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,1,1,15,0.45400864788980194,0.6472521583239238,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,1,0.7020917196165432,0.6840412219365438,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,2,0.6734809035604651,0.6422587633132935,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,3,0.6538118363329859,0.6258943160374959,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,4,0.6394215210369139,0.5835840861002605,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,5,0.6197288219224323,0.6069912095864614,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,6,0.6093281189149077,0.5736451824506124,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,7,0.6034149595282294,0.5742338339487711,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,8,0.6048695810816505,0.6118874589602152,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,9,0.5903865505348552,0.577401743332545,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,10,0.5849731636769844,0.5833235243956248,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,11,0.5501534936554504,0.5755752007166545,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,12,0.5338553244417364,0.5963140110174815,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
lr_scheduler_patience,3,2,2,13,0.5196724303744056,0.5871132930119832,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,3,0.5,True,42
