parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,d_model,nhead,num_layers,dim_feedforward,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
use_class_weight,True,1,1,1,0.6910340478925994,0.656559685866038,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,2,0.66237060815999,0.6369436721007029,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,3,0.6421637774416895,0.6261752267678579,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,4,0.6337593247493108,0.5817704459031423,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,5,0.6195369459914438,0.5861012101173401,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,6,0.6085795444069486,0.5835085391998291,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,7,0.599913641584642,0.586770764986674,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,8,0.5918860871231917,0.5907365699609121,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,9,0.5817614114194205,0.5861951410770416,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,10,0.5616885868437362,0.6156444946924845,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,11,0.541669450700283,0.6057886044184367,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,12,0.510829396545887,0.6223106026649475,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,13,0.49669319436405646,0.6398492435614268,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,1,1,14,0.480993193771803,0.6759992559750875,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,1,0.6968201001485189,0.6743813514709472,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
use_class_weight,True,2,2,2,0.6721740559195027,0.6418284058570862,0.001,64,4,2,128,0.1,32,75,0.0,0.1,10,5,0.5,True,42
